IR,SR,cq_size,ceq_size, remaining_rb, mem_bw,
0,0,0,0,0,0,
12,8,0,0,1024,4,
1,0,0,0,1024,5.44,
1,0,0,0,1024,5.44,
1,0,0,0,1024,5.44,
1,0,0,0,1024,5.44,
1,0,0,0,1024,5.44,
1,0,0,0,1024,5.44,
1,0,0,0,1024,3.52,
1,2,0,0,1024,3.52,
1,1,0,0,1024,3.52,
1,0,0,0,1024,3.52,
1,1,0,0,1024,3.52,
1,2,0,0,1024,3.52,
1,0,0,0,1024,3.52,
1,0,0,0,1024,3.52,
1,0,0,0,1024,3.52,
1,0,0,0,1024,3.52,
1,0,0,0,1024,3.52,
1,12,0,0,1024,3.36,
1,0,0,0,1024,4.16,
1,0,0,0,1024,4.16,
1,0,0,0,1024,4.16,
1,0,0,0,1024,4.16,
1,0,0,0,1024,4.16,
1,0,0,0,1024,4.16,
1,0,0,0,1024,4.16,
1,0,0,0,1024,4.8,
1,0,0,0,1024,4.8,
1,1,0,0,1024,4.8,
1,1,0,0,1024,4.8,
1,2,0,0,1024,4.8,
1,1,0,0,1024,4.8,
1,1,0,0,1024,4.8,
1,2,0,0,1024,4.8,
1,0,0,0,1024,4.8,
1,1,0,0,1024,1.76,
1,2,0,0,1024,1.76,
1,1,0,0,1024,1.76,
1,1,0,0,1024,1.76,
1,1,0,0,1024,1.76,
1,1,0,0,1024,1.76,
1,1,0,0,1024,1.76,
1,0,0,0,1024,3.04,
1,1,0,0,1024,3.04,
1,0,0,0,1024,3.04,
1,2,0,0,1024,3.04,
1,1,0,0,1024,3.04,
1,1,0,0,1024,3.04,
1,1,0,0,1024,3.04,
1,1,0,0,1024,3.04,
1,0,0,0,1024,4,
1,2,0,0,1024,4,
1,1,0,0,1024,4,
1,1,0,0,1024,4,
1,1,0,0,1024,4,
1,0,0,0,1024,4,
1,1,0,0,1024,4,
1,2,0,0,1024,4,
1,1,0,0,1024,3.2,
1,1,0,0,1024,3.2,
1,1,0,0,1024,3.2,
1,1,0,0,1024,3.2,
1,1,0,0,1024,3.36,
1,1,0,0,1024,3.36,
1,1,0,0,1024,3.36,
1,1,0,0,1024,3.36,
1,0,0,0,1024,3.68,
1,1,0,0,1024,3.68,
1,1,0,0,1024,3.68,
1,1,0,0,1024,3.68,
1,6,0,0,1024,3.68,
10,6,0,0,1024,3.52,
1,0,0,0,1024,3.68,
2,3,0,0,1024,3.68,
6,6,0,0,1024,4.32,
6,6,0,0,1024,3.04,
6,6,0,0,1024,4.8,
5,5,0,0,1024,2.72,
6,6,0,0,1024,3.84,
7,7,0,0,1024,4.48,
7,7,0,0,1024,3.84,
8,8,0,0,1024,3.2,
8,8,0,0,1024,4.32,
8,8,0,0,1024,4.16,
8,8,0,0,1024,2.08,
10,10,0,0,1024,3.52,
10,10,0,0,1024,3.2,
11,11,0,0,1024,3.04,
11,22,0,0,1024,4.32,
11,0,0,0,1024,4.48,
11,11,0,0,1024,2.88,
11,22,0,0,1024,3.2,
11,0,0,0,1024,4.32,
12,12,0,0,1024,3.68,
12,12,0,0,1024,3.36,
12,12,0,0,1024,3.04,
12,24,0,0,1024,3.84,
12,0,0,0,1024,3.36,
1,1,0,0,1024,3.04,
11,23,0,0,1024,4.32,
1,0,0,0,1024,3.68,
11,0,0,0,1024,3.52,
1,0,0,0,1024,3.04,
23,24,0,0,1024,2.56,
1,0,0,0,1024,2.72,
11,24,0,0,1024,3.68,
1,0,0,0,1024,3.52,
11,0,0,0,1024,4.96,
1,0,0,0,1024,3.2,
11,24,0,0,1024,3.2,
12,0,0,0,1024,3.84,
12,24,0,0,1024,4.64,
12,0,0,0,1024,2.88,
1,0,0,0,1024,2.88,
1,1,0,0,1024,3.52,
10,11,0,0,1024,3.52,
1,0,0,0,1024,4.32,
11,12,0,0,1024,3.2,
1,0,0,0,1024,3.84,
11,12,0,0,1024,3.84,
12,24,0,0,1024,4.16,
12,0,0,0,1024,4,
1,0,0,0,1024,1.92,
11,12,0,0,1024,3.2,
1,0,0,0,1024,3.2,
11,24,0,0,1024,3.36,
1,0,0,0,1024,2.88,
11,0,0,0,1024,4.32,
1,0,0,0,1024,3.84,
11,24,0,0,1024,3.68,
