setup, interval, nic_rb_mr, core_rb_mr, mbw, NNF_l3_mr,
susq_450_4k_clean_4, 75, 1.0, 0.7216660944430451,15.957045073652191, 0,
susq_50_4k_clean_4, 33, 1.0, 0.03422011623507651,4.419883751369318, 0,
susq_150_4k_2_4, 77, 0.9096551227419222, 0.08017376892658054,14.463786646636324, 0,
susq_450_4k_2_8, 65, 0.9999985482212278, 0.6443886302457345,11.307112893999648, 0,
susq_50_4k_2_4, 75, 0.951928565861509, 0.026238755677582295,15.81294963307203, 0,
susq_350_4k_clean_4, 67, 1.0, 0.5925888072271714,14.881138913051117, 0,
susq_350_4k_clean12_8, 37, 1.0, 0.21716247590591778,5.846376775509823, 0,
susq_250_4k_clean_4, 57, 1.0, 0.43680991991760554,13.57351396657242, 0,
susq_450_4k_clean12_8, 39, 1.0, 0.26435032894736843,6.561365885236405, 0,
susq_350_4k_2_8, 67, 0.9971619899303813, 0.5455648354396989,10.612609337763354, 0,
susq_150_4k_clean_4, 40, 1.0, 0.1873105662518917,9.497956690996002, 0,
susq_450_4k_12_8, 58, 1.0, 0.0017653333613586683,8.756859363138519, 0,
susq_250_4k_clean12_4, 38, 1.0, 0.14162484761224148,8.327103486029268, 0,
susq_50_4k_12_8, 59, 1.0, 1.4454197669825653e-06,8.925147712095898, 0,
susq_150_4k_12_8, 58, 1.0, 0.00011862598789305532,8.915366520673842, 0,
susq_250_4k_2_8, 66, 0.9761464532122508, 0.38356748704212273,10.14137144704463, 0,
susq_350_4k_12_8, 60, 1.0, 0.0006472538674962165,8.740584842703374, 0,
susq_150_4k_clean12_8, 32, 1.0, 0.050598147250012715,2.7228296573058586, 0,
susq_50_4k_clean12_4, 32, 1.0, 0.00514400643181436,3.2900912889023597, 0,
susq_250_4k_12_8, 60, 1.0, 0.000277319446779889,8.772985191866963, 0,
susq_50_4k_clean_8, 32, 1.0, 0.033355052967882964,2.250989142858858, 0,
susq_450_4k_clean_8, 53, 1.0, 0.7434353718261308,11.499543598791377, 0,
susq_50_4k_2_8, 58, 0.9545007236423543, 0.02714025979485455,10.454950720384414, 0,
susq_150_4k_2_8, 61, 0.9132610714233016, 0.13228490569235202,9.544032814031938, 0,
susq_450_4k_2_4, 86, 0.9819082969984735, 0.45781552311399726,15.305831154234362, 0,
susq_250_4k_clean_8, 45, 1.0, 0.4130880836598175,8.101193342542661, 0,
susq_350_4k_clean_8, 51, 1.0, 0.6205326740373297,10.194389666795368, 0,
susq_350_4k_clean12_4, 47, 1.0, 0.2608750998402556,10.770232956727884, 0,
susq_350_4k_2_4, 84, 0.9670445673046487, 0.33484319349085623,14.49574854063174, 0,
susq_150_4k_clean_8, 35, 1.0, 0.17637488224434558,5.116032962558866, 0,
susq_450_4k_clean12_4, 51, 1.0, 0.31085404000256955,11.355369038717845, 0,
susq_450_4k_12_4, 77, 1.0, 0.004637448503447116,13.332165405055754, 0,
susq_250_4k_clean12_8, 35, 1.0, 0.1446031087102741,4.649532546224376, 0,
susq_50_4k_12_4, 77, 1.0, 5.254750294266016e-06,14.289280165806659, 0,
susq_250_4k_2_4, 77, 0.9164346809852042, 0.17520050413895508,15.078612955773599, 0,
susq_150_4k_12_4, 75, 1.0, 4.676727761896755e-05,14.017539713813552, 0,
susq_250_4k_12_4, 76, 1.0, 0.0005568721624348411,13.85426448706206, 0,
susq_50_4k_clean12_8, 31, 1.0, 0.005481098663191525,1.7133461881142085, 0,
susq_350_4k_12_4, 77, 1.0, 0.0005630464940306036,13.679628876232444, 0,
susq_150_4k_clean12_4, 34, 1.0, 0.05286686039179418,5.360135735173795, 0,
