IR,SR,cq_size,ceq_size, remaining_rb, mem_bw,
0,0,0,0,0,0,
24,24,0,0,4096,6.1632,
1,0,0,0,4096,4.31424,
1,0,0,0,4096,4.31424,
1,0,0,0,4096,4.31424,
1,0,0,0,4096,4.31424,
1,0,0,0,4096,4.31424,
1,0,0,0,4096,4.31424,
1,0,0,0,4096,4.31424,
1,0,0,0,4096,4.31424,
1,0,0,0,4096,4.31424,
1,0,0,0,4096,4.31424,
1,0,0,0,4096,4.31424,
1,0,0,0,4096,4.31424,
1,0,0,0,4096,5.75232,
1,1,0,0,4096,5.75232,
1,1,0,0,4096,5.75232,
1,1,0,0,4096,5.75232,
1,2,0,0,4096,5.75232,
1,1,0,0,4096,5.75232,
1,2,0,0,4096,5.75232,
1,0,0,0,4096,5.75232,
1,0,0,0,4096,5.75232,
1,0,0,0,4096,5.75232,
1,0,0,0,4096,5.75232,
1,0,0,0,4096,5.75232,
1,0,0,0,4096,5.75232,
1,0,0,0,4096,5.75232,
2,0,0,0,4096,5.75232,
24,2,0,0,4096,12.7373,
7,40,0,0,4096,12.7373,
16,1,0,0,4096,11.5046,
15,21,0,0,4096,9.86112,
6,0,0,0,4096,11.7101,
8,3,0,0,4096,11.7101,
2,9,0,0,4096,13.559,
3,0,0,0,4096,12.9427,
10,7,0,0,4096,14.9971,
8,13,0,0,4096,14.9971,
7,2,0,0,4096,13.3536,
12,19,0,0,4096,14.1754,
5,11,0,0,4096,14.1754,
11,0,0,0,4096,14.9971,
10,17,0,0,4096,13.559,
3,0,0,0,4096,13.559,
10,8,0,0,4096,15.2026,
17,21,0,0,4096,12.3264,
2,0,0,0,4096,5.136,
20,15,0,0,4096,9.86112,
7,8,0,0,4096,13.559,
5,11,0,0,4096,13.559,
6,1,0,0,4096,14.1754,
6,13,0,0,4096,13.7645,
7,1,0,0,4096,13.9699,
1,1,0,0,4096,12.3264,
22,31,0,0,4096,14.7917,
1,0,0,0,4096,12.121,
18,10,0,0,4096,13.1482,
1,1,0,0,4096,13.7645,
5,12,0,0,4096,13.7645,
9,1,0,0,4096,13.3536,
11,16,0,0,4096,16.8461,
4,0,0,0,4096,16.8461,
10,10,0,0,4096,13.3536,
18,25,0,0,4096,10.8883,
1,0,0,0,4096,17.4624,
13,4,0,0,4096,12.121,
11,16,0,0,4096,11.5046,
7,7,0,0,4096,11.5046,
4,3,0,0,4096,14.7917,
13,12,0,0,4096,15.6134,
11,13,0,0,4096,15.6134,
4,0,0,0,4096,6.1632,
16,18,0,0,4096,15.8189,
11,18,0,0,4096,16.4352,
7,0,0,0,4096,12.7373,
8,12,0,0,4096,10.4774,
4,0,0,0,4096,12.121,
4,5,0,0,4096,14.3808,
8,8,0,0,4096,16.6406,
12,13,0,0,4096,13.9699,
3,4,0,0,4096,13.9699,
4,1,0,0,4096,10.272,
4,14,0,0,4096,17.4624,
19,2,0,0,4096,13.559,
11,18,0,0,4096,12.3264,
11,12,0,0,4096,12.3264,
7,19,0,0,4096,13.3536,
1,0,0,0,4096,14.9971,
14,0,0,0,4096,14.9971,
5,15,0,0,4096,13.559,
17,3,0,0,4096,13.1482,
2,18,0,0,4096,16.6406,
10,0,0,0,4096,14.5862,
5,12,0,0,4096,11.0938,
9,0,0,0,4096,15.408,
15,19,0,0,4096,13.1482,
15,5,0,0,4096,11.2992,
8,18,0,0,4096,11.2992,
13,21,0,0,4096,12.7373,
1,0,0,0,4096,8.42304,
13,7,0,0,4096,12.3264,
2,0,0,0,4096,12.3264,
6,4,0,0,4096,9.2448,
4,6,0,0,4096,16.0243,
1,0,0,0,4096,13.1482,
9,9,0,0,4096,13.1482,
4,5,0,0,4096,14.3808,
14,13,0,0,4096,11.5046,
13,13,0,0,4096,11.0938,
6,0,0,0,4096,11.0938,
2,12,0,0,4096,18.0787,
10,1,0,0,4096,12.9427,
13,25,0,0,4096,16.4352,
6,0,0,0,4096,12.121,
2,0,0,0,4096,12.121,
10,21,0,0,4096,12.9427,
9,0,0,0,4096,13.3536,
7,7,0,0,4096,14.7917,
13,10,0,0,4096,14.3808,
5,11,0,0,4096,14.3808,
12,2,0,0,4096,16.2298,
16,22,0,0,4096,10.8883,
1,1,0,0,4096,15.408,
16,15,0,0,4096,15.408,
5,6,0,0,4096,14.1754,
11,14,0,0,4096,12.3264,
1,0,0,0,4096,12.3264,
3,0,0,0,4096,12.3264,
3,5,0,0,4096,13.7645,
5,13,0,0,4096,11.7101,
14,2,0,0,4096,12.121,
12,18,0,0,4096,12.121,
6,4,0,0,4096,13.9699,
4,3,0,0,4096,12.9427,
13,16,0,0,4096,14.5862,
3,0,0,0,4096,11.0938,
7,6,0,0,4096,11.7101,
12,6,0,0,4096,12.5318,
