IR,SR,cq_size,ceq_size, remaining_rb, mem_bw,
0,0,0,0,0,0,
24,24,0,0,4096,0.41088,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,0,0,0,4096,1.23264,
1,1,0,0,4096,5.95776,
1,1,0,0,4096,5.95776,
1,2,0,0,4096,5.95776,
1,1,0,0,4096,5.95776,
1,1,0,0,4096,5.95776,
1,2,0,0,4096,5.95776,
1,0,0,0,4096,5.95776,
1,1,0,0,4096,5.95776,
3,20,0,0,4096,5.95776,
19,0,0,0,4096,15.2026,
24,21,0,0,4096,12.121,
3,11,0,0,4096,15.6134,
8,0,0,0,4096,12.9427,
5,16,0,0,4096,11.5046,
8,1,0,0,4096,14.3808,
9,16,0,0,4096,14.3808,
8,1,0,0,4096,11.9155,
7,7,0,0,4096,7.60128,
15,14,0,0,4096,17.257,
7,8,0,0,4096,15.6134,
5,5,0,0,4096,11.0938,
10,10,0,0,4096,14.1754,
13,14,0,0,4096,15.6134,
1,0,0,0,4096,15.8189,
1,7,0,0,4096,15.8189,
9,2,0,0,4096,12.9427,
19,12,0,0,4096,14.5862,
11,23,0,0,4096,14.5862,
9,1,0,0,4096,13.559,
2,13,0,0,4096,16.6406,
7,0,0,0,4096,12.3264,
19,15,0,0,4096,16.0243,
2,18,0,0,4096,16.0243,
25,21,0,0,4096,13.7645,
1,0,0,0,4096,11.5046,
7,0,0,0,4096,11.5046,
11,18,0,0,4096,14.5862,
8,1,0,0,4096,13.3536,
4,5,0,0,4096,15.2026,
14,10,0,0,4096,13.559,
12,11,0,0,4096,14.5862,
5,16,0,0,4096,12.7373,
8,0,0,0,4096,4.51968,
21,23,0,0,4096,12.9427,
1,0,0,0,4096,15.8189,
7,8,0,0,4096,13.3536,
1,0,0,0,4096,13.3536,
4,5,0,0,4096,12.9427,
9,5,0,0,4096,11.9155,
4,7,0,0,4096,14.5862,
16,21,0,0,4096,11.9155,
1,0,0,0,4096,14.9971,
21,3,0,0,4096,14.9971,
7,24,0,0,4096,11.7101,
4,1,0,0,4096,15.408,
18,9,0,0,4096,10.4774,
4,19,0,0,4096,14.9971,
12,6,0,0,4096,13.1482,
1,1,0,0,4096,18.695,
12,12,0,0,4096,18.695,
14,14,0,0,4096,11.5046,
3,3,0,0,4096,14.5862,
11,12,0,0,4096,14.3808,
