IR,SR,cq_size,ceq_size, remaining_rb, mem_bw,
0,0,0,0,0,0,
24,12,0,0,4096,0.20544,
1,1,0,0,4096,0.82176,
1,1,0,0,4096,0.82176,
1,1,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,2,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,2,0,0,4096,0.82176,
1,1,0,0,4096,0.82176,
1,1,0,0,4096,0.82176,
1,1,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,2,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,0,0,0,4096,0.82176,
1,1,0,0,4096,8.62848,
1,2,0,0,4096,8.62848,
1,1,0,0,4096,8.62848,
1,1,0,0,4096,8.62848,
1,0,0,0,4096,8.62848,
1,1,0,0,4096,8.62848,
7,0,0,0,4096,8.62848,
17,39,0,0,4096,15.8189,
21,7,0,0,4096,15.6134,
12,9,0,0,4096,13.1482,
11,0,0,0,4096,13.1482,
4,23,0,0,4096,14.7917,
14,3,0,0,4096,17.257,
5,8,0,0,4096,13.1482,
11,12,0,0,4096,14.5862,
14,3,0,0,4096,14.5862,
10,29,0,0,4096,15.2026,
1,0,0,0,4096,15.2026,
11,0,0,0,4096,15.2026,
5,11,0,0,4096,13.559,
6,3,0,0,4096,16.8461,
2,11,0,0,4096,10.8883,
7,0,0,0,4096,15.8189,
17,6,0,0,4096,12.3264,
6,25,0,0,4096,13.7645,
15,1,0,0,4096,14.1754,
8,19,0,0,4096,13.9699,
8,8,0,0,4096,15.8189,
7,0,0,0,4096,15.408,
9,12,0,0,4096,14.3808,
14,18,0,0,4096,14.5862,
1,0,0,0,4096,13.3536,
17,12,0,0,4096,14.7917,
1,0,0,0,4096,14.7917,
22,22,0,0,4096,14.5862,
1,1,0,0,4096,17.4624,
10,10,0,0,4096,17.4624,
5,9,0,0,4096,11.9155,
8,4,0,0,4096,13.9699,
10,11,0,0,4096,15.6134,
8,8,0,0,4096,13.7645,
9,9,0,0,4096,13.1482,
24,12,0,0,4096,4.31424,
8,20,0,0,4096,15.2026,
7,7,0,0,4096,13.1482,
6,8,0,0,4096,13.1482,
3,2,0,0,4096,12.5318,
1,1,0,0,4096,16.0243,
16,6,0,0,4096,13.9699,
2,22,0,0,4096,13.9699,
12,0,0,0,4096,15.6134,
12,12,0,0,4096,8.42304,
15,16,0,0,4096,18.4896,
5,5,0,0,4096,14.3808,
8,13,0,0,4096,10.8883,
6,0,0,0,4096,16.4352,
9,10,0,0,4096,11.9155,
11,11,0,0,4096,13.9699,
5,9,0,0,4096,13.9699,
6,0,0,0,4096,13.559,
3,20,0,0,4096,13.9699,
19,2,0,0,4096,14.1754,
20,21,0,0,4096,12.7373,
1,2,0,0,4096,15.8189,
6,5,0,0,4096,15.8189,
15,16,0,0,4096,12.9427,
2,0,0,0,4096,12.9427,
29,30,0,0,4096,13.1482,
1,0,0,0,4096,13.1482,
4,5,0,0,4096,14.9971,
1,1,0,0,4096,16.0243,
10,10,0,0,4096,17.6678,
2,2,0,0,4096,17.6678,
11,11,0,0,4096,12.121,
12,12,0,0,4096,12.121,
12,10,0,0,4096,12.9427,
19,21,0,0,4096,15.2026,
1,1,0,0,4096,14.5862,
8,10,0,0,4096,14.5862,
5,6,0,0,4096,15.2026,
17,10,0,0,4096,16.8461,
8,21,0,0,4096,15.2026,
10,2,0,0,4096,12.121,
5,5,0,0,4096,16.6406,
1,0,0,0,4096,16.6406,
7,8,0,0,4096,12.7373,
9,14,0,0,4096,10.8883,
7,1,0,0,4096,16.0243,
12,6,0,0,4096,17.4624,
11,31,0,0,4096,13.3536,
25,12,0,0,4096,11.7101,
1,1,0,0,4096,8.62848,
4,2,0,0,4096,8.62848,
15,12,0,0,4096,18.9005,
3,9,0,0,4096,18.9005,
2,0,0,0,4096,12.7373,
8,8,0,0,4096,11.7101,
13,14,0,0,4096,11.9155,
2,5,0,0,4096,10.6829,
6,3,0,0,4096,11.5046,
13,12,0,0,4096,16.0243,
10,10,0,0,4096,10.0666,
12,12,0,0,4096,16.4352,
9,7,0,0,4096,13.559,
7,8,0,0,4096,16.0243,
12,20,0,0,4096,14.5862,
1,0,0,0,4096,14.5862,
10,0,0,0,4096,14.5862,
7,20,0,0,4096,15.8189,
8,0,0,0,4096,13.3536,
20,14,0,0,4096,10.0666,
2,15,0,0,4096,12.9427,
16,1,0,0,4096,11.9155,
2,12,0,0,4096,15.2026,
5,2,0,0,4096,12.121,
5,19,0,0,4096,12.5318,
14,0,0,0,4096,12.7373,
24,12,0,0,4096,6.36864,
15,29,0,0,4096,12.9427,
1,0,0,0,4096,13.3536,
2,1,0,0,4096,13.3536,
10,7,0,0,4096,9.45024,
2,6,0,0,4096,13.7645,
1,1,0,0,4096,11.7101,
2,1,0,0,4096,11.7101,
5,15,0,0,4096,13.7645,
14,5,0,0,4096,9.45024,
25,17,0,0,4096,9.45024,
3,13,0,0,4096,9.86112,
5,2,0,0,4096,17.8733,
7,7,0,0,4096,12.7373,
12,12,0,0,4096,13.9699,
1,1,0,0,4096,13.1482,
9,9,0,0,4096,13.1482,
17,17,0,0,4096,13.3536,
5,11,0,0,4096,13.3536,
8,1,0,0,4096,13.7645,
8,9,0,0,4096,13.7645,
15,15,0,0,4096,16.4352,
1,1,0,0,4096,14.5862,
6,6,0,0,4096,14.5862,
16,13,0,0,4096,4.1088,
4,15,0,0,4096,4.1088,
9,2,0,0,4096,13.9699,
5,14,0,0,4096,14.1754,
9,1,0,0,4096,16.4352,
6,5,0,0,4096,14.1754,
8,7,0,0,4096,11.9155,
14,8,0,0,4096,14.3808,
5,16,0,0,4096,15.408,
5,1,0,0,4096,15.6134,
15,7,0,0,4096,14.7917,
2,15,0,0,4096,16.8461,
17,15,0,0,4096,16.4352,
7,2,0,0,4096,16.4352,
20,22,0,0,4096,14.3808,
1,1,0,0,4096,17.4624,
19,19,0,0,4096,12.5318,
1,1,0,0,4096,12.121,
1,0,0,0,4096,12.121,
13,16,0,0,4096,12.121,
10,1,0,0,4096,16.8461,
10,17,0,0,4096,16.8461,
2,10,0,0,4096,12.7373,
9,0,0,0,4096,9.86112,
10,9,0,0,4096,16.4352,
10,18,0,0,4096,13.1482,
19,14,0,0,4096,16.6406,
1,1,0,0,4096,16.8461,
3,1,0,0,4096,16.8461,
16,16,0,0,4096,13.7645,
1,0,0,0,4096,14.7917,
20,8,0,0,4096,14.7917,
1,25,0,0,4096,16.0243,
13,2,0,0,4096,12.7373,
6,8,0,0,4096,12.121,
17,8,0,0,4096,15.6134,
1,10,0,0,4096,10.0666,
15,13,0,0,4096,13.7645,
10,10,0,0,4096,12.9427,
14,14,0,0,4096,12.3264,
30,12,0,0,4096,9.65568,
3,29,0,0,4096,13.1482,
14,4,0,0,4096,10.4774,
14,16,0,0,4096,7.39584,
25,26,0,0,4096,6.57408,
14,26,0,0,4096,9.86112,
13,0,0,0,4096,8.01216,
1,2,0,0,4096,6.98496,
21,8,0,0,4096,6.98496,
9,34,0,0,4096,6.77952,
15,2,0,0,4096,7.1904,
8,8,0,0,4096,3.28704,
11,12,0,0,4096,5.34144,
18,30,0,0,4096,5.34144,
13,1,0,0,4096,5.75232,
16,16,0,0,4096,10.0666,
8,5,0,0,4096,6.98496,
7,9,0,0,4096,5.54688,
8,7,0,0,4096,4.51968,
12,32,0,0,4096,5.136,
19,0,0,0,4096,7.60128,
20,19,0,0,4096,7.1904,
19,20,0,0,4096,9.45024,
17,32,0,0,4096,7.39584,
22,5,0,0,4096,7.80672,
16,19,0,0,4096,10.8883,
12,8,0,0,4096,6.77952,
6,9,0,0,4096,4.93056,
11,11,0,0,4096,5.75232,
15,15,0,0,4096,5.75232,
42,42,0,0,4096,8.83392,
1,0,0,0,4096,8.83392,
28,30,0,0,4096,7.80672,
1,0,0,0,4096,7.80672,
25,40,0,0,4096,9.45024,
1,0,0,0,4096,1.84896,
14,11,0,0,4096,1.84896,
11,0,0,0,4096,6.98496,
19,38,0,0,4096,4.1088,
