IR,SR,cq_size,ceq_size, remaining_rb, mem_bw,
0,0,0,0,0,0,
12,11,0,0,1024,5.12,
1,0,0,0,1024,8,
1,0,0,0,1024,6.88,
1,0,0,0,1024,6.88,
1,0,0,0,1024,6.88,
1,0,0,0,1024,6.88,
1,0,0,0,1024,6.88,
1,0,0,0,1024,6.88,
1,0,0,0,1024,4.8,
1,1,0,0,1024,4.8,
1,2,0,0,1024,4.8,
1,0,0,0,1024,4.8,
1,0,0,0,1024,4.8,
1,0,0,0,1024,4.8,
1,0,0,0,1024,4.8,
1,0,0,0,1024,6.24,
1,1,0,0,1024,6.24,
1,1,0,0,1024,6.24,
1,1,0,0,1024,6.24,
1,2,0,0,1024,6.24,
1,1,0,0,1024,6.24,
1,1,0,0,1024,6.24,
1,2,0,0,1024,6.24,
1,1,0,0,1024,6.24,
1,1,0,0,1024,6.24,
1,0,0,0,1024,6.24,
1,1,0,0,1024,6.24,
1,1,0,0,1024,8.16,
1,3,0,0,1024,8.16,
1,2,0,0,1024,8.16,
1,1,0,0,1024,8.16,
1,0,0,0,1024,8.16,
1,0,0,0,1024,8.16,
1,0,0,0,1024,8.16,
1,0,0,0,1024,2.72,
1,1,0,0,1024,2.72,
1,6,0,0,1024,4.96,
1,0,0,0,1024,4.96,
1,0,0,0,1024,4.96,
1,0,0,0,1024,4.96,
1,0,0,0,1024,4.96,
1,1,0,0,1024,4.96,
1,0,0,0,1024,4.96,
1,2,0,0,1024,5.6,
1,1,0,0,1024,5.76,
1,1,0,0,1024,5.76,
1,1,0,0,1024,5.76,
1,2,0,0,1024,7.68,
1,1,0,0,1024,7.68,
1,0,0,0,1024,7.68,
1,1,0,0,1024,6.88,
1,2,0,0,1024,6.88,
1,1,0,0,1024,6.88,
1,0,0,0,1024,6.88,
1,1,0,0,1024,7.36,
1,2,0,0,1024,7.36,
1,4,0,0,1024,7.2,
4,0,0,0,1024,7.2,
1,3,0,0,1024,5.6,
8,7,0,0,1024,5.92,
1,2,0,0,1024,5.12,
1,2,0,0,1024,5.12,
11,14,0,0,1024,6.72,
1,0,0,0,1024,7.04,
8,4,0,0,1024,5.12,
1,1,0,0,1024,7.2,
2,1,0,0,1024,7.2,
3,3,0,0,1024,6.56,
2,2,0,0,1024,8.48,
2,2,0,0,1024,3.52,
6,6,0,0,1024,8,
1,1,0,0,1024,6.24,
7,10,0,0,1024,6.24,
5,2,0,0,1024,7.36,
1,3,0,0,1024,7.36,
3,2,0,0,1024,8.48,
2,2,0,0,1024,7.04,
1,1,0,0,1024,7.84,
1,0,0,0,1024,7.84,
8,10,0,0,1024,7.36,
1,1,0,0,1024,7.36,
1,0,0,0,1024,7.36,
2,0,0,0,1024,7.36,
10,11,0,0,1024,7.2,
1,4,0,0,1024,7.2,
7,4,0,0,1024,7.84,
1,1,0,0,1024,7.84,
5,5,0,0,1024,7.84,
4,5,0,0,1024,2.24,
1,0,0,0,1024,2.24,
6,6,0,0,1024,7.2,
1,1,0,0,1024,8.16,
2,2,0,0,1024,8.16,
4,4,0,0,1024,6.72,
2,2,0,0,1024,7.2,
1,1,0,0,1024,7.2,
4,4,0,0,1024,6.88,
1,0,0,0,1024,6.88,
5,6,0,0,1024,6.88,
1,0,0,0,1024,6.88,
2,8,0,0,1024,7.84,
7,1,0,0,1024,6.4,
4,5,0,0,1024,6.24,
3,3,0,0,1024,7.2,
3,3,0,0,1024,11.2,
3,5,0,0,1024,11.2,
2,0,0,0,1024,9.28,
1,1,0,0,1024,9.28,
2,2,0,0,1024,9.28,
1,0,0,0,1024,9.28,
14,15,0,0,1024,4.48,
1,0,0,0,1024,7.52,
4,5,0,0,1024,7.52,
3,3,0,0,1024,7.36,
5,5,0,0,1024,5.44,
3,3,0,0,1024,7.2,
2,2,0,0,1024,6.08,
1,1,0,0,1024,6.08,
1,3,0,0,1024,8.32,
1,0,0,0,1024,8.32,
1,0,0,0,1024,7.36,
2,3,0,0,1024,4.32,
2,1,0,0,1024,7.84,
1,0,0,0,1024,7.84,
4,5,0,0,1024,6.24,
15,15,0,0,1024,4.32,
1,1,0,0,1024,4,
3,3,0,0,1024,3.36,
1,1,0,0,1024,5.28,
7,13,0,0,1024,9.44,
1,0,0,0,1024,9.44,
5,0,0,0,1024,8,
7,9,0,0,1024,3.68,
4,2,0,0,1024,7.36,
2,2,0,0,1024,6.72,
2,2,0,0,1024,6.08,
1,2,0,0,1024,3.04,
1,1,0,0,1024,7.04,
1,1,0,0,1024,8.16,
1,1,0,0,1024,7.04,
1,2,0,0,1024,3.68,
1,0,0,0,1024,9.28,
1,1,0,0,1024,9.28,
4,4,0,0,1024,4,
