IR,SR,cq_size,ceq_size, remaining_rb, mem_bw,
0,0,0,0,0,0,
12,9,0,0,2048,4.96,
1,0,0,0,2048,4,
1,0,0,0,2048,4,
1,0,0,0,2048,4,
1,0,0,0,2048,4,
1,0,0,0,2048,4,
1,0,0,0,2048,4,
1,0,0,0,2048,4,
1,0,0,0,2048,4,
1,0,0,0,2048,4,
1,0,0,0,2048,4.64,
1,0,0,0,2048,4.64,
1,1,0,0,2048,4.64,
1,2,0,0,2048,4.64,
1,0,0,0,2048,4.64,
1,5,0,0,2048,4.64,
1,2,0,0,2048,4.64,
1,0,0,0,2048,4.64,
1,0,0,0,2048,4.64,
1,0,0,0,2048,6.4,
1,0,0,0,2048,6.4,
1,1,0,0,2048,6.4,
1,1,0,0,2048,6.4,
1,1,0,0,2048,6.4,
1,2,0,0,2048,6.4,
1,1,0,0,2048,6.4,
1,1,0,0,2048,6.24,
1,1,0,0,2048,6.24,
1,3,0,0,2048,6.24,
1,0,0,0,2048,6.24,
1,0,0,0,2048,6.72,
1,0,0,0,2048,8,
1,1,0,0,2048,8,
1,3,0,0,2048,8,
1,0,0,0,2048,5.92,
1,5,0,0,2048,5.6,
1,0,0,0,2048,2.24,
1,0,0,0,2048,2.24,
1,0,0,0,2048,2.24,
1,0,0,0,2048,2.24,
1,0,0,0,2048,5.6,
1,1,0,0,2048,5.6,
1,0,0,0,2048,5.6,
1,1,0,0,2048,5.6,
1,7,0,0,2048,5.6,
1,0,0,0,2048,5.76,
1,1,0,0,2048,5.76,
1,0,0,0,2048,5.76,
1,0,0,0,2048,5.76,
1,0,0,0,2048,5.76,
1,0,0,0,2048,5.76,
1,0,0,0,2048,6.88,
1,2,0,0,2048,6.88,
1,0,0,0,2048,6.88,
1,0,0,0,2048,6.88,
1,9,0,0,2048,6.88,
1,0,0,0,2048,5.44,
4,0,0,0,2048,5.44,
2,2,0,0,2048,6.08,
3,5,0,0,2048,5.28,
5,5,0,0,2048,5.12,
4,2,0,0,2048,6.4,
1,1,0,0,2048,7.84,
1,0,0,0,2048,7.84,
1,2,0,0,2048,7.2,
2,4,0,0,2048,4.96,
2,0,0,0,2048,7.36,
3,3,0,0,2048,6.88,
10,10,0,0,2048,6.24,
1,1,0,0,2048,6.24,
8,12,0,0,2048,6.08,
1,0,0,0,2048,6.56,
3,0,0,0,2048,6.56,
4,4,0,0,2048,2.4,
3,6,0,0,2048,5.12,
3,0,0,0,2048,6.24,
2,2,0,0,2048,6.72,
3,3,0,0,2048,8,
5,5,0,0,2048,7.36,
5,5,0,0,2048,6.72,
1,1,0,0,2048,7.2,
1,1,0,0,2048,10.88,
1,1,0,0,2048,10.88,
1,1,0,0,2048,8.96,
1,1,0,0,2048,7.68,
1,1,0,0,2048,5.76,
1,0,0,0,2048,7.2,
1,2,0,0,2048,3.52,
1,4,0,0,2048,3.52,
1,0,0,0,2048,4.8,
1,0,0,0,2048,4.8,
1,0,0,0,2048,4.8,
1,1,0,0,2048,6.56,
4,8,0,0,2048,6.56,
1,0,0,0,2048,5.76,
3,0,0,0,2048,5.76,
4,4,0,0,2048,4.8,
2,2,0,0,2048,5.44,
4,4,0,0,2048,7.84,
4,5,0,0,2048,5.6,
5,8,0,0,2048,7.04,
10,10,0,0,2048,7.04,
1,0,0,0,2048,6.24,
3,0,0,0,2048,6.24,
5,9,0,0,2048,7.04,
4,0,0,0,2048,7.04,
3,3,0,0,2048,6.56,
4,4,0,0,2048,7.36,
3,3,0,0,2048,7.2,
5,5,0,0,2048,7.36,
2,2,0,0,2048,7.2,
1,0,0,0,2048,7.2,
1,2,0,0,2048,8.8,
1,1,0,0,2048,8.8,
1,1,0,0,2048,8.8,
1,1,0,0,2048,6.24,
1,0,0,0,2048,5.76,
1,4,0,0,2048,5.76,
1,0,0,0,2048,6.72,
1,0,0,0,2048,6.72,
1,0,0,0,2048,6.72,
1,1,0,0,2048,8,
1,0,0,0,2048,8,
1,3,0,0,2048,8,
1,0,0,0,2048,8,
1,1,0,0,2048,4.8,
1,2,0,0,2048,4.8,
1,1,0,0,2048,5.92,
1,1,0,0,2048,5.92,
3,4,0,0,2048,5.92,
3,2,0,0,2048,5.44,
2,3,0,0,2048,3.68,
4,3,0,0,2048,5.28,
6,6,0,0,2048,4.64,
6,6,0,0,2048,7.04,
3,0,0,0,2048,7.04,
5,10,0,0,2048,7.04,
4,2,0,0,2048,5.12,
1,0,0,0,2048,6.08,
2,3,0,0,2048,6.08,
1,1,0,0,2048,8.32,
3,3,0,0,2048,3.84,
3,3,0,0,2048,5.76,
3,4,0,0,2048,4.96,
4,3,0,0,2048,5.92,
1,1,0,0,2048,7.04,
1,1,0,0,2048,5.76,
1,1,0,0,2048,3.52,
1,0,0,0,2048,3.52,
2,3,0,0,2048,5.76,
1,3,0,0,2048,4.96,
4,2,0,0,2048,5.76,
1,1,0,0,2048,6.56,
1,1,0,0,2048,6.56,
1,1,0,0,2048,6.56,
1,1,0,0,2048,3.84,
1,1,0,0,2048,3.84,
2,2,0,0,2048,5.28,
1,1,0,0,2048,7.2,
1,0,0,0,2048,4.48,
1,0,0,0,2048,4.48,
2,4,0,0,2048,8.32,
1,1,0,0,2048,8.32,
1,0,0,0,2048,4.64,
1,2,0,0,2048,4.64,
1,1,0,0,2048,4.16,
1,1,0,0,2048,4.8,
1,0,0,0,2048,7.68,
8,10,0,0,2048,3.68,
1,0,0,0,2048,3.68,
1,2,0,0,2048,1.92,
3,2,0,0,2048,5.28,
4,3,0,0,2048,3.68,
5,12,0,0,2048,5.12,
6,0,0,0,2048,5.28,
3,3,0,0,2048,3.52,
7,12,0,0,2048,5.12,
1,0,0,0,2048,5.12,
4,0,0,0,2048,3.84,
5,5,0,0,2048,4.96,
2,2,0,0,2048,5.28,
1,1,0,0,2048,3.2,
3,3,0,0,2048,4,
1,1,0,0,2048,5.92,
3,4,0,0,2048,5.92,
2,1,0,0,2048,5.6,
2,2,0,0,2048,5.12,
1,1,0,0,2048,6.4,
3,4,0,0,2048,4.16,
1,1,0,0,2048,6.24,
1,1,0,0,2048,5.50857,
1,1,0,0,2048,6.88,
1,0,0,0,2048,7.04,
1,1,0,0,2048,7.04,
1,2,0,0,2048,7.04,
1,0,0,0,2048,7.04,
1,0,0,0,2048,3.36,
1,2,0,0,2048,3.36,
1,2,0,0,2048,5.76,
1,2,0,0,2048,3.36,
1,0,0,0,2048,3.36,
1,0,0,0,2048,4.48,
1,1,0,0,2048,7.36,
1,1,0,0,2048,4.48,
1,2,0,0,2048,4.48,
1,0,0,0,2048,4.48,
1,0,0,0,2048,3.84,
1,2,0,0,2048,3.84,
1,0,0,0,2048,7.2,
1,1,0,0,2048,7.2,
1,2,0,0,2048,7.2,
1,0,0,0,2048,5.44,
1,2,0,0,2048,5.44,
1,0,0,0,2048,3.68,
1,1,0,0,2048,3.68,
1,1,0,0,2048,3.68,
1,2,0,0,2048,3.68,
3,3,0,0,2048,6.4,
4,4,0,0,2048,3.52,
2,2,0,0,2048,5.12,
1,2,0,0,2048,5.92,
9,15,0,0,2048,4.16,
1,0,0,0,2048,4.16,
6,0,0,0,2048,5.44,
7,7,0,0,2048,3.68,
6,6,0,0,2048,4.96,
3,4,0,0,2048,6.24,
4,4,0,0,2048,6.24,
4,3,0,0,2048,4.16,
2,2,0,0,2048,3.68,
2,2,0,0,2048,5.28,
4,6,0,0,2048,5.12,
4,2,0,0,2048,5.12,
3,4,0,0,2048,4.16,
3,2,0,0,2048,5.12,
3,3,0,0,2048,4.8,
1,1,0,0,2048,4.64,
4,4,0,0,2048,4.96,
1,1,0,0,2048,5.92,
1,1,0,0,2048,5.92,
