IR,SR,cq_size,ceq_size, remaining_rb, mem_bw,
0,0,0,0,0,0,
12,7,0,0,512,4.8,
1,0,0,0,512,4.32,
1,1,0,0,512,3.68,
1,0,0,0,512,3.68,
1,0,0,0,512,3.52,
1,0,0,0,512,3.52,
1,2,0,0,512,3.28,
1,0,0,0,512,2.88,
1,0,0,0,512,2.88,
1,0,0,0,512,4,
1,2,0,0,512,4,
1,1,0,0,512,4,
1,1,0,0,512,3.04,
1,0,0,0,512,3.04,
1,1,0,0,512,5.12,
1,1,0,0,512,5.12,
1,2,0,0,512,5.12,
1,0,0,0,512,5.12,
1,1,0,0,512,5.12,
1,1,0,0,512,5.12,
1,1,0,0,512,3.04,
1,3,0,0,512,3.2,
1,1,0,0,512,5.6,
1,0,0,0,512,5.6,
1,0,0,0,512,5.6,
1,0,0,0,512,5.6,
1,1,0,0,512,3.2,
1,0,0,0,512,3.2,
1,2,0,0,512,3.2,
1,1,0,0,512,3.2,
1,10,0,0,512,3.68,
1,0,0,0,512,3.68,
1,0,0,0,512,3.68,
1,0,0,0,512,3.68,
1,0,0,0,512,3.68,
1,0,0,0,512,3.68,
1,0,0,0,512,4.48,
1,0,0,0,512,4.48,
1,0,0,0,512,4.48,
1,0,0,0,512,4.48,
1,1,0,0,512,5.6,
1,1,0,0,512,5.44,
1,1,0,0,512,4,
1,2,0,0,512,4,
1,0,0,0,512,4,
1,0,0,0,512,4.96,
1,1,0,0,512,4.96,
1,1,0,0,512,4.96,
1,2,0,0,512,4.96,
1,1,0,0,512,5.44,
1,2,0,0,512,5.44,
1,1,0,0,512,3.84,
1,1,0,0,512,3.84,
1,1,0,0,512,3.84,
1,0,0,0,512,3.84,
1,0,0,0,512,3.84,
1,0,0,0,512,3.84,
1,0,0,0,512,5.28,
1,1,0,0,512,5.28,
1,1,0,0,512,5.28,
1,9,0,0,512,5.28,
1,0,0,0,512,2.08,
1,0,0,0,512,2.08,
1,0,0,0,512,2.08,
1,0,0,0,512,2.08,
1,0,0,0,512,2.08,
1,0,0,0,512,2.08,
1,1,0,0,512,2.08,
1,1,0,0,512,2.08,
1,0,0,0,512,2.08,
1,1,0,0,512,4.32,
1,9,0,0,512,4.32,
6,0,0,0,512,4.64,
1,1,0,0,512,6.4,
3,3,0,0,512,3.2,
5,4,0,0,512,4.64,
1,5,0,0,512,7.04,
3,0,0,0,512,4.64,
1,3,0,0,512,2.88,
9,7,0,0,512,5.6,
1,1,0,0,512,3.68,
6,6,0,0,512,3.68,
7,7,0,0,512,5.28,
1,1,0,0,512,3.84,
1,1,0,0,512,3.84,
3,3,0,0,512,3.52,
2,6,0,0,512,5.44,
4,0,0,0,512,4.64,
3,3,0,0,512,5.28,
4,4,0,0,512,4.32,
4,4,0,0,512,3.84,
2,2,0,0,512,4.48,
1,1,0,0,512,4.48,
4,4,0,0,512,4.32,
1,1,0,0,512,5.44,
2,2,0,0,512,4.96,
1,1,0,0,512,4.96,
3,4,0,0,512,4.16,
4,4,0,0,512,5.28,
3,6,0,0,512,4.64,
1,0,0,0,512,4.64,
2,0,0,0,512,2.88,
2,2,0,0,512,5.12,
1,2,0,0,512,4.16,
4,3,0,0,512,5.6,
3,3,0,0,512,4.16,
1,1,0,0,512,4,
4,4,0,0,512,6.56,
4,3,0,0,512,3.52,
