setup,app_dirty_evct,rb_dirty_evct,lb_dirty_evct,NF_mem_acc,lb_mem_acc,rb_mem_acc,memhog_acc
susq_450_4k_6_4, 119032,7120689,6837,792742,0,206363,6834,
susq_50_4k_clean2_4, 63873,174260,13063,683840,0,174220,14082,
susq_250_4k_ideal_4, 88383,0,0,549607,0,0,24576,
susq_450_4k_12_4, 109782,6241807,458,949780,0,32744,458,
susq_250_4k_clean12_4, 82305,974007,24889,761666,0,974098,25427,
susq_450_4k_clean2_4, 101956,4787143,22987,773565,0,4790319,24472,
susq_250_4k_12_4, 98799,6209515,102,935589,0,4782,102,
susq_450_4k_ideal_4, 80630,0,0,549204,0,0,24576,
susq_50_4k_ideal_4, 82379,0,0,551351,0,0,24576,
susq_250_4k_clean6_4, 83541,1078413,15783,751885,0,1078517,15993,
susq_50_4k_6_4, 91244,7580885,2043,727663,0,389,2043,
susq_250_4k_6_4, 101005,7448927,6718,748940,0,49199,6704,
susq_250_4k_2_4, 166405,6211143,1694,774396,0,1166661,1770,
susq_50_4k_2_4, 110612,7142387,1181,630712,0,129648,1289,
susq_50_4k_12_4, 97752,6238335,0,922847,0,155,24576,
susq_250_4k_clean2_4, 93440,2688721,14548,737692,0,2691782,17155,
susq_450_4k_clean12_4, 113464,2542174,53454,809096,0,2543741,54000,
susq_450_4k_clean6_4, 106419,2733432,29734,786950,0,2734468,30114,
susq_50_4k_clean6_4, 51155,28468,16660,712112,0,28468,16930,
susq_50_4k_clean12_4, 50721,22919,13778,727652,0,22918,13983,
susq_450_4k_2_4, 202367,6328913,2589,851609,0,2758693,2584,
