IR,SR,cq_size,ceq_size, remaining_rb, mem_bw,
0,0,0,0,0,0,
24,24,0,0,2048,1.43808,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,0,0,0,2048,1.84896,
1,1,0,0,2048,9.65568,
1,1,0,0,2048,9.65568,
1,1,0,0,2048,9.65568,
1,1,0,0,2048,9.65568,
1,3,0,0,2048,9.65568,
1,0,0,0,2048,9.65568,
1,2,0,0,2048,9.65568,
13,15,0,0,2048,9.65568,
26,37,0,0,2048,7.60128,
1,0,0,0,2048,8.62848,
15,0,0,0,2048,8.62848,
13,14,0,0,2048,14.9971,
3,5,0,0,2048,11.2992,
5,2,0,0,2048,11.2992,
10,14,0,0,2048,9.03936,
6,3,0,0,2048,8.62848,
2,1,0,0,2048,9.03936,
1,2,0,0,2048,12.121,
6,4,0,0,2048,9.45024,
1,6,0,0,2048,10.0666,
6,1,0,0,2048,11.7101,
2,12,0,0,2048,11.7101,
8,0,0,0,2048,13.559,
11,8,0,0,2048,9.45024,
8,16,0,0,2048,9.65568,
9,0,0,0,2048,8.83392,
24,29,0,0,2048,14.1754,
10,10,0,0,2048,12.7373,
1,1,0,0,2048,8.42304,
6,8,0,0,2048,15.408,
3,0,0,0,2048,13.559,
1,1,0,0,2048,13.7645,
2,10,0,0,2048,13.3536,
7,2,0,0,2048,12.5318,
3,0,0,0,2048,12.5318,
11,11,0,0,2048,10.6829,
13,13,0,0,2048,11.9155,
5,5,0,0,2048,10.272,
11,17,0,0,2048,13.1482,
1,0,0,0,2048,12.121,
10,0,0,0,2048,12.121,
2,14,0,0,2048,11.5046,
8,1,0,0,2048,10.0666,
12,20,0,0,2048,9.86112,
14,14,0,0,2048,15.8189,
1,0,0,0,2048,13.559,
15,1,0,0,2048,13.559,
2,15,0,0,2048,12.5318,
8,2,0,0,2048,9.2448,
7,7,0,0,2048,14.7917,
9,10,0,0,2048,6.77952,
15,17,0,0,2048,8.42304,
7,4,0,0,2048,8.42304,
1,12,0,0,2048,9.65568,
11,0,0,0,2048,10.8883,
4,4,0,0,2048,11.5046,
1,4,0,0,2048,12.9427,
4,1,0,0,2048,12.9427,
19,10,0,0,2048,6.57408,
13,24,0,0,2048,6.57408,
3,11,0,0,2048,7.39584,
10,0,0,0,2048,9.65568,
8,9,0,0,2048,17.8733,
4,4,0,0,2048,13.9699,
4,4,0,0,2048,14.7917,
3,4,0,0,2048,15.2026,
12,6,0,0,2048,11.5046,
13,18,0,0,2048,9.65568,
4,3,0,0,2048,9.65568,
10,9,0,0,2048,11.5046,
8,10,0,0,2048,11.7101,
9,9,0,0,2048,9.86112,
3,3,0,0,2048,11.7101,
9,7,0,0,2048,10.272,
4,6,0,0,2048,12.7373,
2,1,0,0,2048,12.7373,
18,24,0,0,2048,10.8883,
6,0,0,0,2048,6.98496,
1,1,0,0,2048,8.62848,
5,6,0,0,2048,8.62848,
4,4,0,0,2048,13.9699,
4,4,0,0,2048,11.0938,
3,2,0,0,2048,14.5862,
6,6,0,0,2048,11.0938,
1,10,0,0,2048,11.2992,
19,2,0,0,2048,13.7645,
1,18,0,0,2048,13.7645,
12,0,0,0,2048,9.2448,
8,17,0,0,2048,14.5862,
8,0,0,0,2048,11.2992,
3,12,0,0,2048,6.57408,
17,3,0,0,2048,12.7373,
5,14,0,0,2048,12.7373,
3,1,0,0,2048,5.54688,
10,13,0,0,2048,14.3808,
1,0,0,0,2048,10.4774,
1,9,0,0,2048,10.4774,
7,0,0,0,2048,13.1482,
6,4,0,0,2048,11.2992,
17,17,0,0,2048,13.1482,
1,0,0,0,2048,8.83392,
29,15,0,0,2048,4.72512,
3,27,0,0,2048,6.98496,
21,19,0,0,2048,8.01216,
1,0,0,0,2048,11.0938,
13,6,0,0,2048,12.121,
1,1,0,0,2048,9.86112,
2,3,0,0,2048,9.86112,
2,2,0,0,2048,13.9699,
1,2,0,0,2048,15.8189,
1,0,0,0,2048,15.8189,
3,3,0,0,2048,16.2298,
9,8,0,0,2048,12.3264,
21,23,0,0,2048,13.559,
2,0,0,0,2048,13.559,
12,5,0,0,2048,16.0243,
1,17,0,0,2048,16.0243,
10,0,0,0,2048,14.1754,
2,4,0,0,2048,11.0938,
2,8,0,0,2048,10.6829,
8,0,0,0,2048,11.5046,
4,12,0,0,2048,9.2448,
15,9,0,0,2048,14.1754,
8,0,0,0,2048,14.1754,
3,13,0,0,2048,8.2176,
6,0,0,0,2048,9.2448,
10,15,0,0,2048,5.54688,
8,13,0,0,2048,15.2026,
6,1,0,0,2048,14.3808,
2,2,0,0,2048,12.9427,
1,6,0,0,2048,10.6829,
10,4,0,0,2048,8.83392,
1,12,0,0,2048,8.83392,
16,0,0,0,2048,12.5318,
7,20,0,0,2048,12.3264,
19,1,0,0,2048,11.5046,
1,14,0,0,2048,7.80672,
4,0,0,0,2048,7.39584,
9,15,0,0,2048,14.7917,
11,9,0,0,2048,12.5318,
3,0,0,0,2048,9.86112,
6,2,0,0,2048,9.86112,
2,7,0,0,2048,10.4774,
8,3,0,0,2048,13.1482,
1,11,0,0,2048,13.1482,
8,0,0,0,2048,11.0938,
9,5,0,0,2048,10.272,
3,15,0,0,2048,14.3808,
6,0,0,0,2048,14.1754,
12,8,0,0,2048,12.121,
6,18,0,0,2048,12.5318,
28,2,0,0,2048,4.72512,
19,46,0,0,2048,8.2176,
1,0,0,0,2048,10.4774,
17,8,0,0,2048,11.0938,
1,1,0,0,2048,14.1754,
5,5,0,0,2048,14.1754,
3,4,0,0,2048,13.1482,
1,0,0,0,2048,14.9971,
1,3,0,0,2048,11.2992,
4,2,0,0,2048,12.3264,
1,0,0,0,2048,12.3264,
5,15,0,0,2048,13.3536,
11,0,0,0,2048,13.9699,
13,17,0,0,2048,10.8883,
1,1,0,0,2048,12.9427,
17,5,0,0,2048,9.2448,
10,21,0,0,2048,10.8883,
9,13,0,0,2048,7.80672,
1,0,0,0,2048,10.4774,
5,1,0,0,2048,10.4774,
7,12,0,0,2048,14.5862,
5,0,0,0,2048,17.0515,
5,6,0,0,2048,11.2992,
