IR,SR,cq_size,ceq_size, remaining_rb, mem_bw,
0,0,0,0,0,0,
24,24,0,0,2048,4.93056,
1,0,0,0,2048,4.93056,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,1,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.43808,
1,0,0,0,2048,1.0272,
1,0,0,0,2048,1.0272,
1,1,0,0,2048,6.36864,
1,17,0,0,2048,6.36864,
1,0,0,0,2048,6.36864,
1,0,0,0,2048,6.36864,
1,0,0,0,2048,6.36864,
16,0,0,0,2048,6.36864,
23,26,0,0,2048,10.8883,
9,22,0,0,2048,14.1754,
1,0,0,0,2048,14.1754,
21,9,0,0,2048,13.559,
1,2,0,0,2048,13.559,
13,11,0,0,2048,14.3808,
10,9,0,0,2048,11.9155,
11,12,0,0,2048,12.9427,
21,19,0,0,2048,14.1754,
8,15,0,0,2048,14.1754,
11,7,0,0,2048,11.9155,
18,17,0,0,2048,16.0243,
4,2,0,0,2048,16.6406,
15,18,0,0,2048,14.5862,
10,10,0,0,2048,16.6406,
16,15,0,0,2048,8.62848,
1,1,0,0,2048,8.62848,
12,14,0,0,2048,10.272,
12,22,0,0,2048,14.1754,
1,0,0,0,2048,14.1754,
13,0,0,0,2048,12.7373,
10,22,0,0,2048,14.3808,
14,1,0,0,2048,11.5046,
3,7,0,0,2048,11.0938,
12,10,0,0,2048,15.2026,
15,13,0,0,2048,8.01216,
6,19,0,0,2048,10.0666,
20,1,0,0,2048,8.42304,
11,20,0,0,2048,15.2026,
1,0,0,0,2048,15.2026,
18,27,0,0,2048,13.1482,
1,1,0,0,2048,13.1482,
14,5,0,0,2048,12.3264,
6,7,0,0,2048,13.1482,
6,21,0,0,2048,16.6406,
21,2,0,0,2048,14.3808,
7,12,0,0,2048,15.408,
15,5,0,0,2048,12.5318,
11,24,0,0,2048,14.7917,
6,17,0,0,2048,13.7645,
25,11,0,0,2048,14.3808,
3,3,0,0,2048,14.3808,
15,10,0,0,2048,12.7373,
8,13,0,0,2048,15.8189,
7,5,0,0,2048,9.45024,
9,26,0,0,2048,14.7917,
15,0,0,0,2048,10.272,
9,9,0,0,2048,12.5318,
11,10,0,0,2048,13.9699,
16,11,0,0,2048,12.9427,
11,22,0,0,2048,11.9155,
17,10,0,0,2048,13.1482,
8,10,0,0,2048,14.5862,
3,9,0,0,2048,14.5862,
8,0,0,0,2048,15.408,
12,11,0,0,2048,11.5046,
14,22,0,0,2048,17.0515,
13,3,0,0,2048,13.3536,
8,16,0,0,2048,13.3536,
9,0,0,0,2048,13.559,
6,11,0,0,2048,13.7645,
20,16,0,0,2048,14.7917,
6,15,0,0,2048,14.7917,
18,0,0,0,2048,14.3808,
9,23,0,0,2048,12.7373,
5,3,0,0,2048,12.9427,
14,13,0,0,2048,8.83392,
8,10,0,0,2048,13.559,
13,6,0,0,2048,12.3264,
3,17,0,0,2048,12.121,
9,3,0,0,2048,10.6829,
9,8,0,0,2048,13.7645,
7,11,0,0,2048,16.0243,
15,8,0,0,2048,13.9699,
24,27,0,0,2048,10.4774,
4,9,0,0,2048,10.4774,
8,3,0,0,2048,10.6829,
15,11,0,0,2048,11.2992,
4,16,0,0,2048,16.2298,
14,0,0,0,2048,15.408,
3,17,0,0,2048,12.5318,
8,0,0,0,2048,14.7917,
11,12,0,0,2048,12.121,
20,21,0,0,2048,13.559,
3,0,0,0,2048,13.559,
21,20,0,0,2048,13.7645,
15,18,0,0,2048,16.0243,
1,0,0,0,2048,17.0515,
7,2,0,0,2048,17.0515,
20,26,0,0,2048,9.2448,
7,17,0,0,2048,16.4352,
1,0,0,0,2048,16.4352,
12,0,0,0,2048,11.2992,
21,24,0,0,2048,12.9427,
9,9,0,0,2048,12.9427,
9,9,0,0,2048,11.9155,
12,10,0,0,2048,15.408,
13,17,0,0,2048,15.408,
4,9,0,0,2048,11.9155,
13,1,0,0,2048,15.2026,
7,19,0,0,2048,9.45024,
7,0,0,0,2048,8.83392,
14,30,0,0,2048,16.0243,
23,6,0,0,2048,11.5046,
1,1,0,0,2048,11.5046,
8,8,0,0,2048,17.257,
6,8,0,0,2048,9.86112,
2,13,0,0,2048,15.2026,
24,0,0,0,2048,13.1482,
13,24,0,0,2048,12.5318,
13,14,0,0,2048,12.5318,
3,12,0,0,2048,14.5862,
11,2,0,0,2048,13.7645,
13,20,0,0,2048,14.1754,
15,0,0,0,2048,14.1754,
7,25,0,0,2048,14.9971,
12,0,0,0,2048,11.0938,
9,10,0,0,2048,16.0243,
23,14,0,0,2048,10.8883,
7,19,0,0,2048,13.559,
1,10,0,0,2048,13.559,
12,1,0,0,2048,10.0666,
17,20,0,0,2048,15.6134,
8,1,0,0,2048,13.7645,
15,20,0,0,2048,8.62848,
5,4,0,0,2048,12.121,
16,15,0,0,2048,8.42304,
19,19,0,0,2048,7.39584,
4,6,0,0,2048,14.1754,
1,1,0,0,2048,14.1754,
6,3,0,0,2048,12.9427,
8,18,0,0,2048,13.9699,
10,1,0,0,2048,11.2992,
10,10,0,0,2048,14.7917,
12,13,0,0,2048,15.8189,
13,12,0,0,2048,10.8883,
16,15,0,0,2048,14.3808,
13,14,0,0,2048,13.3536,
5,8,0,0,2048,10.6829,
17,3,0,0,2048,12.7373,
6,32,0,0,2048,12.7373,
17,0,0,0,2048,10.272,
14,26,0,0,2048,7.1904,
29,5,0,0,2048,7.60128,
12,49,0,0,2048,6.57408,
24,0,0,0,2048,2.87616,
24,25,0,0,2048,3.28704,
23,23,0,0,2048,4.51968,
23,22,0,0,2048,2.0544,
23,25,0,0,2048,3.28704,
34,13,0,0,2048,2.67072,
4,42,0,0,2048,1.84896,
35,1,0,0,2048,2.46528,
25,42,0,0,2048,3.0816,
22,21,0,0,2048,1.84896,
21,21,0,0,2048,3.0816,
25,22,0,0,2048,3.49248,
29,17,0,0,2048,2.67072,
25,41,0,0,2048,3.28704,
16,6,0,0,2048,4.93056,
20,21,0,0,2048,3.28704,
21,30,0,0,2048,2.87616,
23,23,0,0,2048,3.49248,
39,22,0,0,2048,3.0816,
17,35,0,0,2048,3.90336,
28,8,0,0,2048,3.49248,
28,50,0,0,2048,2.46528,
26,0,0,0,2048,2.67072,
25,52,0,0,2048,1.84896,
35,12,0,0,2048,4.1088,
29,47,0,0,2048,1.84896,
24,24,0,0,2048,3.0816,
1,1,0,0,2048,3.0816,
46,70,0,0,2048,3.49248,
1,0,0,0,2048,3.49248,
23,0,0,0,2048,1.84896,
24,24,0,0,2048,2.0544,
46,26,0,0,2048,3.0816,
19,42,0,0,2048,3.0816,
28,12,0,0,2048,4.1088,
25,33,0,0,2048,2.25984,
33,36,0,0,2048,4.93056,
26,29,0,0,2048,3.49248,
7,6,0,0,2048,3.90336,
47,47,0,0,2048,2.0544,
1,1,0,0,2048,2.0544,
23,23,0,0,2048,2.87616,
24,23,0,0,2048,2.87616,
47,49,0,0,2048,2.25984,
1,23,0,0,2048,2.46528,
24,1,0,0,2048,2.87616,
24,23,0,0,2048,3.49248,
46,48,0,0,2048,3.69792,
1,0,0,0,2048,3.49248,
44,23,0,0,2048,2.67072,
27,48,0,0,2048,2.25984,
23,23,0,0,2048,3.49248,
25,18,0,0,2048,3.69792,
24,31,0,0,2048,3.69792,
21,19,0,0,2048,3.69792,
35,17,0,0,2048,2.0544,
19,40,0,0,2048,2.25984,
19,13,0,0,2048,2.25984,
27,34,0,0,2048,3.69792,
24,22,0,0,2048,3.69792,
28,9,0,0,2048,2.67072,
23,48,0,0,2048,4.72512,
29,1,0,0,2048,2.0544,
1,47,0,0,2048,2.0544,
24,0,0,0,2048,2.0544,
22,21,0,0,2048,1.64352,
46,47,0,0,2048,4.1088,
1,0,0,0,2048,3.69792,
41,23,0,0,2048,1.84896,
5,48,0,0,2048,2.67072,
47,3,0,0,2048,1.84896,
22,43,0,0,2048,3.69792,
25,48,0,0,2048,2.67072,
1,0,0,0,2048,2.67072,
47,24,0,0,2048,2.46528,
1,1,0,0,2048,2.46528,
46,26,0,0,2048,2.87616,
23,43,0,0,2048,2.67072,
19,20,0,0,2048,2.87616,
26,4,0,0,2048,2.67072,
24,49,0,0,2048,3.49248,
26,22,0,0,2048,2.67072,
